program - r_program
correto - id
; - s_ponto_virgula
var - r_var
a - id
, - s_virgula
b - id
, - s_virgula
c - id
: - s_dois_pontos
integer - r_integer
; - s_ponto_virgula
begin - r_begin
a - id
:= - s_atribuicao
2 - num_int
; - s_ponto_virgula
b - id
:= - s_atribuicao
10 - num_int
; - s_ponto_virgula
c - id
:= - s_atribuicao
11 - num_int
; - s_ponto_virgula
a - id
:= - s_atribuicao
b - id
+ - s_mais
c - id
; - s_ponto_virgula
write - r_write
( - s_abre_parenteses
a - id
) - s_fecha_parenteses
; - s_ponto_virgula
if - r_if
( - s_abre_parenteses
c - id
> - s_maior
11 - num_int
) - s_fecha_parenteses
then - r_then
begin - r_begin
b - id
:= - s_atribuicao
10 - num_int
* - s_multiplicacao
c - id
; - s_ponto_virgula
write - r_write
( - s_abre_parenteses
b - id
) - s_fecha_parenteses
; - s_ponto_virgula
c - id
:= - s_atribuicao
a - id
/ - s_divisao
b - id
; - s_ponto_virgula
write - r_write
( - s_abre_parenteses
c - id
) - s_fecha_parenteses
end - r_end
else - r_else
write - r_write
( - s_abre_parenteses
c - id
) - s_fecha_parenteses
; - s_ponto_virgula
while - r_while
( - s_abre_parenteses
a - id
> - s_maior
1 - num_int
) - s_fecha_parenteses
do - r_do
begin - r_begin
if - r_if
( - s_abre_parenteses
b - id
>= - s_maior_igual
10 - num_int
) - s_fecha_parenteses
then - r_then
b - id
:= - s_atribuicao
2 - num_int
; - s_ponto_virgula
write - r_write
( - s_abre_parenteses
a - id
) - s_fecha_parenteses
; - s_ponto_virgula
a - id
:= - s_atribuicao
a - id
-1 - num_int
end - r_end
end - r_end
. - s_ponto
